Make|Model|EngineSize|EngineCylinders|TankSize|MpgCity|MpgHighway|Time(minutes)|Time(d.hh:mm)|CostFuelAdded|CostFuelUsed|FuelAdded|FuelUsed|FuelRemaining|FuelStops
Chevrolet|Spark|1.2|4|10.5|28|36|1559|1.01:59|83.12|88.78|37.9542|40.5391|7.9151|5
Chevrolet|Cruze|1.8|4|12.5|22|35|1539|1.01:39|86.89|93.64|39.6764|42.7581|9.4183|4
Chevrolet|Sonic|1.8|4|12.0|25|35|1539|1.01:39|73.92|92.19|33.7546|42.0946|3.6600|4
Chevrolet|Camaro|3.6|6|13.0|19|28|1559|1.01:59|99.60|115.93|45.4786|52.9383|5.5402|5
Chevrolet|Suburban C1500|5.3|8|33.0|13|18|1489|1.00:49|121.54|179.02|55.4991|81.7466|6.7526|2
Chevrolet|Suburban C2500|6.0|8|36.0|10|15|1509|1.01:09|186.20|216.88|85.0217|99.0317|21.9900|3
Chrysler|Town & Country|3.6|6|12.5|22|29|1559|1.01:59|95.30|110.51|43.5181|50.4606|5.5575|5
Chrysler|300|5.7|6|13.5|18|28|1559|1.01:59|108.41|116.71|49.5032|53.2940|9.7091|5
Dodge|Grand Caravan|3.6|6|12.5|23|29|1559|1.01:59|94.99|109.98|43.3735|50.2202|5.6534|5
Dodge|Challenger|5.7|8|13.0|16|25|1589|1.02:29|130.48|130.79|59.5794|59.7231|12.8562|6
Dodge|Charger|5.7|8|13.0|17|26|1559|1.01:59|107.60|125.42|49.1337|57.2713|4.8624|5
Ford|Fiesta|1.6|4|9.5|29|39|1559|1.01:59|70.98|82.36|32.4096|37.6051|4.3045|5
Ford|Focus|2.0|4|11.5|27|38|1539|1.01:39|79.26|84.96|36.1908|38.7950|8.8958|4
Ford|Fusion|2.0|4|12.5|22|33|1559|1.01:59|98.35|98.58|44.9098|45.0144|12.3955|5
Ford|Taurus|3.5|6|13.0|19|29|1559|1.01:59|104.51|112.42|47.7224|51.3337|9.3887|5
Ford|Mustang|5.0|8|12.0|18|25|1609|1.02:49|128.66|128.94|58.7506|58.8783|11.8722|7
Ford|E150 Wagon|5.4|8|33.5|14|17|1489|1.00:49|127.09|186.89|58.0309|85.3363|6.1945|2
Ford|E350 Wagon|5.4|8|36.5|9|16|1509|1.01:09|204.14|207.95|93.2132|94.9542|34.7590|3
Ford|Expedition 4WD|5.4|8|19.0|13|19|1559|1.01:59|146.67|170.68|66.9743|77.9366|8.0377|5
Ford|F150 Pickup 2WD|6.2|8|25.5|15|20|1509|1.01:09|138.31|160.44|63.1567|73.2600|15.3967|3
Ford|F150 Pickup 4WD|6.2|8|23.0|14|19|1539|1.01:39|158.09|169.22|72.1882|77.2682|17.9199|4
Honda|Civic|1.8|4|12.0|28|39|1509|1.01:09|66.31|82.68|30.2792|37.7549|4.5243|3
Honda|Accord|3.5|6|12.5|21|34|1559|1.01:59|96.38|96.61|44.0069|44.1164|12.3905|5
Hyundai|Accent|1.6|4|10.5|28|37|1559|1.01:59|81.03|86.64|36.9990|39.5609|7.9381|5
Hyundai|Elantra|1.8|4|13.0|28|38|1509|1.01:09|72.90|84.61|33.2862|38.6341|7.6521|3
Hyundai|Sonata|2.4|4|13.5|24|35|1509|1.01:09|74.19|92.63|33.8765|42.2973|5.0792|3
Mazda|MAZDA3|2.0|4|11.0|24|33|1559|1.01:59|84.03|97.57|38.3691|44.5536|4.8155|5
Mazda|MAZDA5|2.5|4|11.5|22|28|1559|1.01:59|98.45|114.02|44.9536|52.0653|4.3883|5
Mazda|MAZDA6|3.7|6|12.0|18|27|1589|1.02:29|120.21|120.49|54.8898|55.0176|11.8722|6
Toyota|Corolla|1.8|4|12.5|26|34|1539|1.01:39|88.11|94.18|40.2341|43.0024|9.7317|4
Toyota|Sienna|2.7|4|13.0|19|24|1589|1.02:29|114.79|132.92|52.4167|60.6943|4.7224|6
Toyota|Camry|3.5|6|13.5|21|31|1539|1.01:39|83.85|104.74|38.2898|47.8251|3.9647|4
Toyota|4Runner|4.0|6|15.0|17|21|1559|1.01:59|130.98|151.56|59.8077|69.2035|5.6042|5

Chevrolet|Suburban C1500|5.3|8|33.0|13|18|1489|1.00:49|121.54|179.02|55.4991|81.7466|6.7526|2    #Vehicle arriving first
Ford|Mustang|5.0|8|12.0|18|25|1609|1.02:49|128.66|128.94|58.7506|58.8783|11.8722|7    #Vehicle arriving last
Honda|Civic|1.8|4|12.0|28|39|1509|1.01:09|66.31|82.68|30.2792|37.7549|4.5243|3    #Vehicle costing least (fuel added)
Ford|E350 Wagon|5.4|8|36.5|9|16|1509|1.01:09|204.14|207.95|93.2132|94.9542|34.7590|3    #Vehicle costing most (fuel added)
Ford|Fiesta|1.6|4|9.5|29|39|1559|1.01:59|70.98|82.36|32.4096|37.6051|4.3045|5    #Vehicle costing least (fuel used)
Chevrolet|Suburban C2500|6.0|8|36.0|10|15|1509|1.01:09|186.20|216.88|85.0217|99.0317|21.9900|3    #Vehicle costing most (fuel used)
